OS:
aix        AIX (Advanced Interactive eXecutive)
amiga      AmigaOS
aros       AROS Research Operating System
bitrig     Bitrig
cygwin     Cygwin
darwin     Darwin
dragonfly  DragonFly BSD
esx        VMware ESXi
freebsd    FreeBSD
gnulinux   GNU/Linux
haiku      Haiku
hpux       HP-UX (Hewlett-Packard UniX)
interix    Interix (POSIX-conformant Unix subsystem for Windows)
irix       IRIX
lynxos     LynxOS RTOS
mingw      MinGW (Minimalist GNU for Windows)
mingw64    MinGW 64-bit
minix      MINIX
mirbsd     MirOS BSD (MirBSD)
mks        MKS Toolkit (Unix-like environment for MS Windows)
morphos    MorphOS
netbsd     NetBSD
openbsd    OpenBSD
qnx        QNX
riscos     RISC OS (by Acorn Computers, Castle Technology)
solaris    Solaris
syllable   Syllable Desktop
zvm        IBM z/VM

Kernels:
linux  Linux (some OSs are not GNU/Linux but use Linux kernel)

Distro:
gentoo  Gentoo

Arch:
alpha    Alpha
arc      ARC (Argonaut RISC Core)
arm      ARM (Advanced RISC Machine)
arm64    ARM 64-bit (ARMv8, AArch64 or ARM64)
avr32    Atmel AVR32
cris     ETRAX CRIS
frv      FR-V (Fujitsu RISC-VLIW)
hexagon  Qualcomm Hexagon
hppa     PA-RISC
hppa64   PA-RISC 64-bit
ia64     IA-64
m32r     Renesas M32R
mips     MIPS
mips64   MIPS 64-bit
or1k     OpenRISC 1000
powerpc  PowerPC
sparc    SPARC
sparc64  SPARC 64-bit
superh   SuperH
tile     Tilera TILE-Gx
x86      x86
x86_64   x86-64 (AMD64)
xtensa   Xtensa
zarch    IBM z/Architecture


unidentified property returns 'unknown'
